更新时间,#genre#
20260520-07-33-26,url


freetv,#genre#
CCTV10,https://t.freetv.fun/live/cctv10-2.m3u8$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10-31.m3u8$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10.m3u8$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10ke-jiao-4.m3u8$[BD]cctv10科教
CCTV11,https://t.freetv.fun/live/cctv11xi-qu-4.m3u8$[BD]cctv11戏曲
CCTV11,https://t.freetv.fun/live/cctv11xi-qu-5.m3u8$[BD]cctv11戏曲
CCTV12,https://t.freetv.fun/live/cctv12-2.m3u8$[BD]cctv12
CCTV12,https://t.freetv.fun/live/cctv12-28.m3u8$[BD]cctv12
CCTV13,https://t.freetv.fun/live/cctv13xin-wen-4.m3u8$[BD]cctv13新闻
CCTV14,https://t.freetv.fun/live/cctv14-2.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-8.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-9.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv15-4.m3u8$[BD]cctv15
CCTV16,https://t.freetv.fun/live/cctv16-3.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-5.m3u8$[BD]cctv16
CCTV2,https://t.freetv.fun/live/cctv2-4.m3u8$[BD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2-7.m3u8$[BD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2.m3u8$[BD]cctv2
CCTV3,https://t.freetv.fun/live/cctv3-3.m3u8$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3zong-yi-4.m3u8$[BD]cctv3综艺
CCTV3,https://t.freetv.fun/live/cctv3zong-yi-5.m3u8$[BD]cctv3综艺
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-19.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv4-1.m3u8$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-25.m3u8$[HD]cctv4
CCTV4欧洲,https://t.freetv.fun/live/cctv4ou-zhou-3.m3u8$[BD]cctv4欧洲
CCTV4欧洲,https://t.freetv.fun/live/cctv4ou-zhou-4.m3u8$[BD]cctv4欧洲
CCTV4欧洲,https://t.freetv.fun/live/cctv4ou-zhou-5.m3u8$[BD]cctv4欧洲
CCTV4美洲,https://t.freetv.fun/live/cctv4mei-zhou-3.m3u8$[BD]cctv4美洲
CCTV5,https://t.freetv.fun/live/cctv5.m3u8$[BD]cctv5
CCTV6,https://t.freetv.fun/live/cctv6-1.m3u8$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6-27.m3u8$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6-5.m3u8$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6dian-ying-4.m3u8$[BD]cctv6电影
CCTV8,https://t.freetv.fun/live/cctv8-14.m3u8$[BD]cctv8
CCTV8,https://t.freetv.fun/live/cctv8-7.m3u8$[BD]cctv8
CCTV8,https://t.freetv.fun/live/cctv8.m3u8$[BD]cctv8
CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying-2.m3u8$[HD]chc动作电影
CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying.smil$[BD]chc动作电影
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan.smil$[BD]chc家庭影院
[BD]cgtn,https://t.freetv.fun/live/cgtn-1.smil$[BD]cgtn
cgtn,https://t.freetv.fun/live/cgtn.m3u8$[HD]cgtn
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.m3u8$[BD]东南卫视
